Ticker,Declared Date,Payable Date,Ex Date,Distrib Amount,Income,Long Gain,Short Gain,ROC
DDF,2012-1-31,2012-2-24,2012-2-8,0.0575,0.0216,,0.0359,
DDF,2011-12-30,2012-1-27,2012-1-11,0.0575,0.0216,,0.0359,
DDF,2011-12-2,2011-12-30,2011-12-14,0.0575,0.0575,,,
DDF,2011-10-31,2011-11-25,2011-11-8,0.0575,0.0575,,,
DDF,2011-9-30,2011-10-28,2011-10-12,0.0575,0.0575,,,
DDF,2011-9-2,2011-9-30,2011-9-14,0.0575,0.0575,,,
DDF,2011-8-2,2011-8-26,2011-8-10,0.0575,0.0575,,,
DDF,2011-7-5,2011-7-29,2011-7-13,0.0575,0.0575,,,
DDF,2011-5-31,2011-6-24,2011-6-8,0.0575,0.0216,,0.0359,
DDF,2011-5-2,2011-5-27,2011-5-11,0.0575,0.0216,,0.0359,
DDF,2011-4-4,2011-4-29,2011-4-13,0.0575,0.0216,,0.0359,
DDF,2011-3-1,2011-3-25,2011-3-9,0.0575,0.0216,,0.0359,
DDF,2011-2-1,2011-2-25,2011-2-9,0.0575,0.0216,,0.0359,
DDF,2011-1-3,2011-1-28,2011-1-12,0.0575,0.0216,,0.0359,
DDF,2010-12-3,2010-12-31,2010-12-15,0.0575,0.0575,,,
DDF,2010-11-2,2010-11-26,2010-11-9,0.0575,0.0575,,,
DDF,2010-10-4,2010-10-29,2010-10-13,0.0575,0.0575,,,
DDF,2010-8-31,2010-9-24,2010-9-8,0.0575,0.0575,,,
DDF,2010-8-2,2010-8-27,2010-8-11,0.0575,0.0575,,,
DDF,2010-7-2,2010-7-30,2010-7-14,0.0575,0.0575,,,
DDF,2010-5-28,2010-6-25,2010-6-9,0.0575,0.0575,,,
DDF,2010-4-30,2010-5-28,2010-5-12,0.0575,0.0575,,,
DDF,2010-4-1,2010-4-30,2010-4-14,0.0575,0.0575,,,
DDF,2010-3-2,2010-3-26,2010-3-10,0.0575,0.0216,,0.0359,
DNI,2016-12-1,2016-12-29,2016-12-13,0.25,0.055,,0.195,
DNI,2016-9-1,2016-9-30,2016-9-14,0.25,0.0475,,0.2025,
